date,open,high,low,close,volume,amount,pct_chg
20250508,8.44,8.49,8.43,8.44,748455.18,632574142.0,-0.7059
20250509,8.45,8.46,8.22,8.25,1167040.0,968421866.0,-2.2512
20250512,8.27,8.31,8.24,8.3,798537.35,660666939.0,0.6061
20250513,8.33,8.36,8.28,8.3,617246.0,512852063.0,0.0
20250514,8.29,8.42,8.22,8.35,1013443.43,841372494.0,0.6024
20250515,8.31,8.38,8.24,8.25,711949.47,590233501.0,-1.1976
20250516,8.26,8.29,8.19,8.27,746578.1,613823896.0,0.2424
20250519,8.26,8.32,8.21,8.28,648897.47,536904573.0,0.1209
20250520,8.28,8.29,8.24,8.26,479515.49,396162432.0,-0.2415
20250521,8.26,8.27,8.2,8.22,652930.89,536759748.99999994,-0.4843
20250522,8.21,8.22,8.15,8.17,654223.62,535260792.99999994,-0.6083
20250523,8.16,8.22,8.09,8.09,632551.16,515798810.0,-0.9792
20250526,8.07,8.12,8.02,8.07,551790.55,445274773.0,-0.2472
20250527,8.07,8.14,8.06,8.1,410074.94,332444467.0,0.3717
20250528,8.12,8.13,8.07,8.08,283362.58,229370795.0,-0.2469
20250529,8.09,8.14,8.06,8.11,551531.27,447365852.0,0.3713
20250530,8.11,8.14,8.08,8.13,528735.41,429052866.0,0.2466
20250603,8.07,8.13,8.05,8.11,477520.25,386987306.0,-0.246
20250604,8.11,8.18,8.1,8.17,532558.23,433569986.0,0.7398
20250605,8.18,8.25,8.16,8.19,635754.62,521516858.0,0.2448
20250606,8.19,8.21,8.13,8.16,482754.65,394044444.0,-0.3663
20250609,8.17,8.18,8.13,8.16,594009.46,484387968.0,0.0
20250610,8.16,8.24,8.07,8.12,754732.39,615418380.0,-0.4902
20250611,8.12,8.18,8.1,8.16,554669.48,452403540.0,0.4926
20250612,8.16,8.17,8.11,8.14,499356.0,405852170.0,-0.2451
20250613,8.12,8.13,8.05,8.06,749945.65,606245514.0,-0.9828
20250616,8.1,8.28,8.08,8.24,1312419.02,1077575739.0,2.2333
20250617,8.21,8.22,8.11,8.12,708540.29,578030818.0,-1.4563
20250618,8.12,8.13,7.98,8.01,947166.46,759980094.0,-1.3547
20250619,8.0,8.01,7.8,7.88,914962.19,722739336.0,-1.623
20250620,7.88,7.92,7.82,7.89,583693.35,459369993.0,0.1269
20250623,7.83,7.9,7.78,7.88,512217.56,402181159.0,-0.1267
20250624,7.9,7.97,7.87,7.97,697219.28,553836014.0,1.1421
20250625,7.96,8.06,7.92,8.05,792524.71,633410322.0,1.0038
20250626,8.05,8.07,8.02,8.04,666680.5,536414360.0,-0.1242
20250627,8.04,8.2,8.03,8.05,951975.6,771787648.0,0.1244
20250630,8.06,8.17,8.03,8.1,629533.81,510087312.0,0.6211
20250701,8.11,8.12,7.99,8.02,914307.93,733977318.0,-0.9877
20250702,8.03,8.1,8.0,8.08,826136.1,664183338.0,0.7481
20250703,8.09,8.17,8.07,8.11,822634.41,667637251.0,0.3713
20250704,8.1,8.13,8.06,8.07,836676.05,676800580.0,-0.4932
20250707,8.05,8.2,8.04,8.16,1184212.0,966502694.0,1.1152
20250708,8.15,8.23,8.12,8.22,948738.07,776945185.0,0.7353
