ts_code,name,industry,list_date,market
000001.SZ,平安银行,银行,19910403,主板
000002.SZ,万科Ａ,全国地产,19910129,主板
000006.SZ,深振业Ａ,区域地产,19920427,主板
000007.SZ,全新好,其他商业,19920413,主板
000008.SZ,神州高铁,运输设备,19920507,主板
000009.SZ,中国宝安,电气设备,19910625,主板
000011.SZ,深物业A,房产服务,19920330,主板
000012.SZ,南玻Ａ,玻璃,19920228,主板
000014.SZ,沙河股份,全国地产,19920602,主板
000017.SZ,深中华A,服饰,19920331,主板
000019.SZ,深粮控股,农业综合,19921012,主板
000020.SZ,深华发Ａ,元器件,19920428,主板
000021.SZ,深科技,元器件,19940202,主板
001872.SZ,招商港口,港口,19930505,主板
000025.SZ,特力Ａ,综合类,19930621,主板
000026.SZ,飞亚达,服饰,19930603,主板
000027.SZ,深圳能源,火力发电,19930903,主板
000028.SZ,国药一致,医药商业,19930809,主板
000029.SZ,深深房Ａ,区域地产,19930915,主板
000030.SZ,富奥股份,汽车配件,19930929,主板
000031.SZ,大悦城,全国地产,19931008,主板
000032.SZ,深桑达Ａ,建筑工程,19931028,主板
000034.SZ,神州数码,软件服务,19940509,主板
000035.SZ,中国天楹,环境保护,19940408,主板
000036.SZ,华联控股,全国地产,19940617,主板
000037.SZ,深南电A,火力发电,19940701,主板
000039.SZ,中集集团,运输设备,19940408,主板
000042.SZ,中洲控股,全国地产,19940921,主板
001914.SZ,招商积余,房产服务,19940928,主板
000045.SZ,深纺织Ａ,元器件,19940815,主板
000048.SZ,京基智农,农业综合,19941101,主板
000049.SZ,德赛电池,电气设备,19950320,主板
000050.SZ,深天马Ａ,元器件,19950315,主板
000055.SZ,方大集团,其他建材,19960415,主板
000058.SZ,深赛格,商品城,19961226,主板
000059.SZ,华锦股份,石油加工,19970130,主板
000060.SZ,中金岭南,铅锌,19970123,主板
000061.SZ,农产品,农业综合,19970110,主板
000062.SZ,深圳华强,元器件,19970130,主板
000063.SZ,中兴通讯,通信设备,19971118,主板
000065.SZ,北方国际,建筑工程,19980605,主板
000066.SZ,中国长城,IT设备,19970626,主板
000068.SZ,华控赛格,环境保护,19970611,主板
000069.SZ,华侨城Ａ,全国地产,19970910,主板
000070.SZ,特发信息,通信设备,20000511,主板
000088.SZ,盐田港,港口,19970728,主板
000089.SZ,深圳机场,机场,19980420,主板
000090.SZ,天健集团,建筑工程,19990721,主板
000096.SZ,广聚能源,石油贸易,20000724,主板
000099.SZ,中信海直,空运,20000731,主板
000100.SZ,TCL科技,元器件,20040130,主板
000151.SZ,中成股份,商贸代理,20000906,主板
000153.SZ,丰原药业,化学制药,20000920,主板
000155.SZ,川能动力,新型电力,20000926,主板
000156.SZ,华数传媒,影视音像,20000906,主板
000157.SZ,中联重科,工程机械,20001012,主板
000158.SZ,常山北明,软件服务,20000724,主板
000159.SZ,国际实业,石油贸易,20000926,主板
000301.SZ,东方盛虹,化纤,20000529,主板
000400.SZ,许继电气,电气设备,19970418,主板
000401.SZ,金隅冀东,水泥,19960614,主板
000402.SZ,金融街,全国地产,19960626,主板
000403.SZ,派林生物,生物制药,19960628,主板
000404.SZ,长虹华意,家用电器,19960619,主板
000407.SZ,胜利股份,供气供热,19960703,主板
000408.SZ,藏格矿业,农药化肥,19960628,主板
000409.SZ,云鼎科技,软件服务,19960627,主板
000410.SZ,沈阳机床,机床制造,19960718,主板
000411.SZ,英特集团,医药商业,19960716,主板
000415.SZ,渤海租赁,多元金融,19960716,主板
000417.SZ,合百集团,百货,19960812,主板
000419.SZ,通程控股,百货,19960816,主板
000420.SZ,吉林化纤,化纤,19960802,主板
000421.SZ,南京公用,供气供热,19960806,主板
000422.SZ,湖北宜化,农药化肥,19960815,主板
000423.SZ,东阿阿胶,中成药,19960729,主板
000425.SZ,徐工机械,工程机械,19960828,主板
000426.SZ,兴业银锡,铅锌,19960828,主板
000428.SZ,华天酒店,酒店餐饮,19960808,主板
000429.SZ,粤高速Ａ,路桥,19980220,主板
000498.SZ,山东路桥,建筑工程,19970609,主板
000501.SZ,武商集团,百货,19921120,主板
000503.SZ,国新健康,软件服务,19921130,主板
000505.SZ,京粮控股,食品,19921221,主板
000506.SZ,招金黄金,黄金,19930312,主板
000507.SZ,珠海港,新型电力,19930326,主板
000509.SZ,华塑控股,元器件,19930507,主板
000510.SZ,新金路,化工原料,19930507,主板
000513.SZ,丽珠集团,化学制药,19931028,主板
000514.SZ,渝开发,区域地产,19930712,主板
000516.SZ,国际医学,医疗保健,19930809,主板
000517.SZ,荣安地产,区域地产,19930806,主板
