ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000012.SZ,20260515,3.82,3.84,3.71,3.73,3.85,-0.12,-3.1169,266464.97,100309.83
000012.SZ,20260514,3.83,3.89,3.76,3.85,3.83,0.02,0.5222,307332.19,117635.291
000012.SZ,20260513,3.89,3.89,3.81,3.83,3.9,-0.07,-1.7949,327248.64,125864.862
000012.SZ,20260512,4.02,4.04,3.89,3.9,4.02,-0.12,-2.9851,414506.35,163224.169
000012.SZ,20260511,4.05,4.05,4.01,4.02,4.03,-0.01,-0.2481,249766.06,100549.063
000012.SZ,20260508,4.02,4.05,4.01,4.03,4.04,-0.01,-0.2475,177239.48,71448.008
000012.SZ,20260507,4.03,4.05,4.01,4.04,4.03,0.01,0.2481,206051.99,83083.413
000012.SZ,20260506,4.04,4.08,3.99,4.03,4.03,0.0,0.0,297357.8,119698.797
000012.SZ,20260430,4.06,4.08,4.02,4.03,4.06,-0.03,-0.7389,207821.79,83906.677
000012.SZ,20260429,4.01,4.09,4.01,4.06,4.03,0.03,0.7444,270496.08,109953.52
000012.SZ,20260428,4.34,4.4,4.0,4.03,4.44,-0.41,-9.2342,727482.9,297492.561
000012.SZ,20260427,4.43,4.47,4.42,4.44,4.45,-0.01,-0.2247,135817.08,60356.582
000012.SZ,20260424,4.45,4.49,4.44,4.45,4.47,-0.02,-0.4474,134731.05,60194.983
000012.SZ,20260423,4.51,4.52,4.43,4.47,4.51,-0.04,-0.8869,169229.17,75647.464
000012.SZ,20260422,4.52,4.55,4.49,4.51,4.53,-0.02,-0.4415,131740.05,59618.15
000012.SZ,20260421,4.54,4.56,4.52,4.53,4.53,0.0,0.0,134400.03,61010.866
000012.SZ,20260420,4.52,4.57,4.48,4.53,4.53,0.0,0.0,146634.86,66565.688
000012.SZ,20260417,4.54,4.56,4.48,4.53,4.54,-0.01,-0.2203,126055.0,57018.53
000012.SZ,20260416,4.48,4.56,4.48,4.54,4.49,0.05,1.1136,168799.98,76623.709
000012.SZ,20260415,4.53,4.55,4.49,4.49,4.54,-0.05,-1.1013,129086.43,58219.79
000012.SZ,20260414,4.55,4.57,4.5,4.54,4.54,0.0,0.0,165679.99,75134.161
000012.SZ,20260413,4.46,4.55,4.45,4.54,4.49,0.05,1.1136,192786.63,87112.878
000012.SZ,20260410,4.45,4.53,4.44,4.49,4.43,0.06,1.3544,177422.49,79818.166
000012.SZ,20260409,4.45,4.47,4.42,4.43,4.47,-0.04,-0.8949,149691.23,66437.202
