ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,end_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,im_n_incr_cash_equ,net_dism_capital_add,net_cash_rece_sec,credit_impa_loss,use_right_asset_dep,oth_loss_asset,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,update_flag
000039.SZ,20260429,20260429,20260331,1,1,1,,,37809903000.0,1256758000.0,,,,,,,,,,,,399584000.0,39466245000.0,33376585000.0,4169078000.0,900938000.0,,,,,,508662000.0,38955263000.0,510982000.0,121000.0,1859307000.0,38509000.0,14040000.0,,1911977000.0,839529000.0,2953922000.0,2965000.0,,,3796416000.0,-1884439000.0,14662574000.0,1000000000.0,15010000.0,17590139000.0,-147281415.5787,13853281000.0,527670000.0,,594255000.0,14975206000.0,2614933000.0,-456230000.0,785246000.0,22791515000.0,23576761000.0,1912555000.0,1912555000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
000039.SZ,20260429,20260429,20260331,1,1,1,,,37809903000.0,1256758000.0,,,,,,,,,,,,399584000.0,39466245000.0,33376585000.0,4169078000.0,900938000.0,,,,,,508662000.0,38955263000.0,510982000.0,121000.0,1859307000.0,38509000.0,14040000.0,,1911977000.0,839529000.0,2953922000.0,2965000.0,,,3796416000.0,-1884439000.0,14662574000.0,1000000000.0,15010000.0,17590139000.0,,13853281000.0,527670000.0,,594255000.0,14975206000.0,2614933000.0,-456230000.0,785246000.0,22791515000.0,23576761000.0,1912555000.0,1912555000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
000039.SZ,20260327,20260327,20251231,1,1,4,1337376000.0,2286994000.0,158432127000.0,6008572000.0,,,,,,,,,,,,1271769000.0,165712468000.0,122384562000.0,15786912000.0,4304663000.0,,,,,,4721882000.0,147198019000.0,18514449000.0,,13520911000.0,288653000.0,381392000.0,16885000.0,14207841000.0,4718727000.0,12781637000.0,17895000.0,456112000.0,,17974371000.0,-3766530000.0,33161305000.0,3500000000.0,,38865743000.0,10342366769.5355,39660934000.0,3349930000.0,972059000.0,2042840000.0,49185549000.0,-10319806000.0,-621759000.0,3806354000.0,18985161000.0,22791515000.0,204438000.0,204438000.0,,760749000.0,3297583000.0,391004000.0,379624000.0,,,96219000.0,,31141000.0,1409783000.0,-51143000.0,31830000.0,923146000.0,6459039000.0,396365000.0,,18514449000.0,,,,3806354000.0,,,649607000.0,411382000.0,,22791515000.0,18985161000.0,,,1
000039.SZ,20260327,20260327,20251231,1,1,4,1337376000.0,2286994000.0,158432127000.0,6008572000.0,,,,,,,,,,,,1271769000.0,165712468000.0,122384562000.0,15786912000.0,4304663000.0,,,,,,4721882000.0,147198019000.0,18514449000.0,,13520911000.0,288653000.0,381392000.0,16885000.0,14207841000.0,4718727000.0,12781637000.0,17895000.0,456112000.0,,17974371000.0,-3766530000.0,33161305000.0,3500000000.0,,38865743000.0,,39660934000.0,3349930000.0,972059000.0,2042840000.0,49185549000.0,-10319806000.0,-621759000.0,3806354000.0,18985161000.0,22791515000.0,204438000.0,204438000.0,,760749000.0,3297583000.0,391004000.0,379624000.0,,,96219000.0,,31141000.0,1409783000.0,-51143000.0,31830000.0,923146000.0,6459039000.0,396365000.0,,18514449000.0,,,,3806354000.0,,,649607000.0,411382000.0,,22791515000.0,18985161000.0,,,0
000039.SZ,20251031,20251031,20250930,1,1,3,,,127114051000.0,4815819000.0,,,,,,,,,,,,2053978000.0,133983848000.0,106370794000.0,11838552000.0,3870337000.0,,,,,,2077030000.0,124156713000.0,9827135000.0,9972000.0,10984452000.0,278213000.0,196980000.0,11065000.0,11480682000.0,2838206000.0,11318630000.0,4673000.0,467759000.0,,14629268000.0,-3148586000.0,27317644000.0,3500000000.0,90749000.0,33052889000.0,4028118778.2045,28919313000.0,2817465000.0,,772546000.0,34509324000.0,-1456435000.0,-346785000.0,4875329000.0,18985161000.0,23860490000.0,144496000.0,144496000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
000039.SZ,20251031,20251031,20250930,1,1,3,,,127114051000.0,4815819000.0,,,,,,,,,,,,2053978000.0,133983848000.0,106370794000.0,11838552000.0,3870337000.0,,,,,,2077030000.0,124156713000.0,9827135000.0,9972000.0,10984452000.0,278213000.0,196980000.0,11065000.0,11480682000.0,2838206000.0,11318630000.0,4673000.0,467759000.0,,14629268000.0,-3148586000.0,27317644000.0,3500000000.0,90749000.0,33052889000.0,,28919313000.0,2817465000.0,,772546000.0,34509324000.0,-1456435000.0,-346785000.0,4875329000.0,18985161000.0,23860490000.0,144496000.0,144496000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
000039.SZ,20250828,20250828,20250630,1,1,2,1763938000.0,506526000.0,84956866000.0,3294162000.0,,,,,,,,,,,,1103564000.0,89354592000.0,70209036000.0,7959927000.0,2846454000.0,,,,,,1184750000.0,82200167000.0,7154425000.0,9972000.0,7923809000.0,243823000.0,164682000.0,11065000.0,8353351000.0,2065784000.0,6929301000.0,4673000.0,462262000.0,,9462020000.0,-1108669000.0,11276855000.0,3500000000.0,90748000.0,16997652000.0,5492372724.293,10729765000.0,1277588000.0,455525000.0,416837000.0,15924190000.0,1073462000.0,-186433000.0,6932785000.0,18985161000.0,25917946000.0,130049000.0,130049000.0,,34843000.0,1579418000.0,171025000.0,40876000.0,,,3136000.0,,6262000.0,63053000.0,-51719000.0,-20331000.0,492286000.0,3454791000.0,-1404597000.0,,7154425000.0,,,,6932785000.0,,,308910000.0,168370000.0,,25917946000.0,18985161000.0,,,1
000039.SZ,20250828,20250828,20250630,1,1,2,1763938000.0,506526000.0,84956866000.0,3294162000.0,,,,,,,,,,,,1103564000.0,89354592000.0,70209036000.0,7959927000.0,2846454000.0,,,,,,1184750000.0,82200167000.0,7154425000.0,9972000.0,7923809000.0,243823000.0,164682000.0,11065000.0,8353351000.0,2065784000.0,6929301000.0,4673000.0,462262000.0,,9462020000.0,-1108669000.0,11276855000.0,3500000000.0,90748000.0,16997652000.0,,10729765000.0,1277588000.0,455525000.0,416837000.0,15924190000.0,1073462000.0,-186433000.0,6932785000.0,18985161000.0,25917946000.0,130049000.0,130049000.0,,34843000.0,1579418000.0,171025000.0,40876000.0,,,3136000.0,,6262000.0,63053000.0,-51719000.0,-20331000.0,492286000.0,3454791000.0,-1404597000.0,,7154425000.0,,,,6932785000.0,,,308910000.0,168370000.0,,25917946000.0,18985161000.0,,,0
000039.SZ,20250429,20250429,20250331,1,1,1,,,45162257000.0,1957978000.0,,,,,,,,,,,,440838000.0,47561073000.0,36155721000.0,4283552000.0,1306638000.0,,,,,,294040000.0,42039951000.0,5521122000.0,,4149462000.0,52939000.0,21825000.0,11044000.0,4235270000.0,1526628000.0,4676027000.0,19367000.0,360920000.0,,6582942000.0,-2347672000.0,7877437000.0,3000000000.0,71571000.0,10952177000.0,3663435060.8104,4081541000.0,492463000.0,,282383000.0,6856387000.0,4095790000.0,-167551000.0,7101689000.0,18985161000.0,26086850000.0,3169000.0,3169000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
000039.SZ,20250429,20250429,20250331,1,1,1,,,45162257000.0,1957978000.0,,,,,,,,,,,,440838000.0,47561073000.0,36155721000.0,4283552000.0,1306638000.0,,,,,,294040000.0,42039951000.0,5521122000.0,,4149462000.0,52939000.0,21825000.0,11044000.0,4235270000.0,1526628000.0,4676027000.0,19367000.0,360920000.0,,6582942000.0,-2347672000.0,7877437000.0,3000000000.0,71571000.0,10952177000.0,,4081541000.0,492463000.0,,282383000.0,6856387000.0,4095790000.0,-167551000.0,7101689000.0,18985161000.0,26086850000.0,3169000.0,3169000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
000039.SZ,20250328,20250328,20241231,1,1,4,4195157000.0,1848123000.0,161777760000.0,6361970000.0,,,,,,,,,,,,1018063000.0,169157793000.0,135205008000.0,16032724000.0,4348136000.0,,,,,,4308055000.0,159893923000.0,9263870000.0,,16512730000.0,520085000.0,427054000.0,14184000.0,17474053000.0,3568865000.0,19057732000.0,215500000.0,1262245000.0,,24104342000.0,-6630289000.0,37151755000.0,10500000000.0,,48178905000.0,4732862820.8821,38300716000.0,3137669000.0,838462000.0,3651208000.0,52422892000.0,-4243987000.0,244751000.0,-1365655000.0,20350816000.0,18985161000.0,527150000.0,527150000.0,,416492000.0,2842328000.0,359605000.0,501104000.0,,,-25707000.0,,669037000.0,493752000.0,-184279000.0,-43561000.0,-760256000.0,-11788275000.0,9870988000.0,,9263870000.0,,,,-1365655000.0,,,491544000.0,348917000.0,,18985161000.0,20350816000.0,,,1
000039.SZ,20241030,20241030,20240930,1,1,3,,,123489522000.0,4885917000.0,,,,,,,,,,,,1350546000.0,129725985000.0,111052795000.0,11396444000.0,2709377000.0,,,,,,2956872000.0,128115488000.0,1610497000.0,7174000.0,13822870000.0,541386000.0,586154000.0,3266000.0,14960850000.0,2028904000.0,16618392000.0,226831000.0,644050000.0,,19518177000.0,-4557327000.0,25053063000.0,10497333000.0,216180000.0,36184461000.0,-7413917773.0015,26217408000.0,2273079000.0,,2916013000.0,31406500000.0,4777961000.0,-542515000.0,1288616000.0,20350816000.0,21639432000.0,417885000.0,417885000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
000039.SZ,20241030,20241030,20240930,1,1,3,,,123489522000.0,4885917000.0,,,,,,,,,,,,1350546000.0,129725985000.0,111052795000.0,11396444000.0,2709377000.0,,,,,,2956872000.0,128115488000.0,1610497000.0,7174000.0,13822870000.0,541386000.0,586154000.0,,14960850000.0,2028904000.0,16618392000.0,226831000.0,644050000.0,,19518177000.0,-4557327000.0,25053063000.0,10497333000.0,216180000.0,36184461000.0,,26217408000.0,2273079000.0,,2916013000.0,31406500000.0,4777961000.0,-542515000.0,1288616000.0,20350816000.0,21639432000.0,417885000.0,417885000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
000039.SZ,20240829,20240829,20240630,1,1,2,1394930000.0,809830000.0,73858461000.0,2796160000.0,,,,,,,,,,,,1258360000.0,77912981000.0,68679461000.0,7438274000.0,1720025000.0,,,,,,1522128000.0,79359888000.0,-1446907000.0,7182000.0,10975278000.0,408977000.0,128998000.0,3000000.0,11523435000.0,1382423000.0,13234836000.0,122000000.0,478567000.0,,15217826000.0,-3694391000.0,15813690000.0,8497333000.0,161180000.0,24837060000.0,-5055808152.8953,15295902000.0,1625081000.0,460528000.0,1377883000.0,18298866000.0,6538194000.0,-5503000.0,1391393000.0,20350816000.0,21742209000.0,364857000.0,364857000.0,,25972000.0,1378384000.0,123796000.0,200125000.0,,,-204000.0,,249762000.0,-126134000.0,-154285000.0,66716000.0,-3196361000.0,-10692026000.0,8136952000.0,,-1446907000.0,,,,1391393000.0,,,50635000.0,201342000.0,,21742209000.0,20350816000.0,,,1
000039.SZ,20240829,20240829,20240630,1,1,2,1394930000.0,809830000.0,73858461000.0,2796160000.0,,,,,,,,,,,,1258360000.0,77912981000.0,68679461000.0,7438274000.0,1720025000.0,,,,,,1522128000.0,79359888000.0,-1446907000.0,7182000.0,10975278000.0,408977000.0,128998000.0,3000000.0,11523435000.0,1382423000.0,13234836000.0,122000000.0,478567000.0,,15217826000.0,-3694391000.0,15813690000.0,8497333000.0,161180000.0,24837060000.0,,15295902000.0,1625081000.0,460528000.0,1377883000.0,18298866000.0,6538194000.0,-5503000.0,1391393000.0,20350816000.0,21742209000.0,364857000.0,364857000.0,,25972000.0,1378384000.0,123796000.0,200125000.0,,,-204000.0,,249762000.0,-126134000.0,-154285000.0,66716000.0,-3196361000.0,-10692026000.0,8136952000.0,,-1446907000.0,,,,1391393000.0,,,50635000.0,201342000.0,,21742209000.0,20350816000.0,,,0
000039.SZ,20240430,20240430,20240331,1,1,1,,,32616057000.0,1138885000.0,,,,,,,,,,,,387271000.0,34142213000.0,31052106000.0,3781587000.0,768805000.0,,,,,,501801000.0,36104299000.0,-1962086000.0,,2369612000.0,167723000.0,91599000.0,,2638934000.0,696911000.0,6154565000.0,12000000.0,272021000.0,,7135497000.0,-4496563000.0,10271372000.0,6000000000.0,60000000.0,16453959000.0,-8071695740.5151,5869868000.0,611293000.0,,276782000.0,6757943000.0,9696016000.0,54653000.0,3292020000.0,20350816000.0,23642836000.0,122587000.0,122587000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
000039.SZ,20240430,20240430,20240331,1,1,1,,,32616057000.0,1138885000.0,,,,,,,,,,,,387271000.0,34142213000.0,31052106000.0,3781587000.0,768805000.0,,,,,,501801000.0,36104299000.0,-1962086000.0,,2369612000.0,167723000.0,91599000.0,,2638934000.0,696911000.0,6154565000.0,12000000.0,272021000.0,,7135497000.0,-4496563000.0,10271372000.0,6000000000.0,60000000.0,16453959000.0,-8433928000.0,5869868000.0,611293000.0,,276782000.0,6757943000.0,9696016000.0,54653000.0,3292020000.0,20350816000.0,23642836000.0,122587000.0,122587000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
