ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy
000002.SZ,20260430,20260331,-0.4989,-0.4989,2.4247,2.4247,2.2589,10.5801,-4.2219,-617982513.8,-5334173713.54,2645566305.17,1.2194,0.5631,0.4371,2.8697,0.042,1.5252,0.0287,-3118042727.0,-3101938368.35,,-3075546973.78,-5044173327.96,389499420862.65,39129710146.51,340715608319.27,280222983640.34,63635057064.03,122238004190.55,229280197107.72,568777593012.89,75856782810.33,-0.4989,9.2648,-0.1813,6.3581,-0.5329,-0.26,-0.2578,-0.4228,-21.0579,9.1454,90.8546,13.3076,-21.0579,2.0819,4.529,6.6966,,110.7787,-15.3208,-10.723,-5.234,-5.23,-4.6906,-0.3074,-0.6037,-0.6587,-20.936,-1.2296,77.1345,4.3734,8.8728,68.1106,31.8894,6.3801,59.9031,19.4338,72.4124,27.5876,-0.0039,3.3734,0.1437,0.3244,0.0827,0.1868,0.2271,-0.0028,1337.6031,-2.4148,-0.5899,146693385194.01,-17.2378,2.0819,110.7787,-5.234,-4.6906,-0.6037,-7.4787,5.6604,5.6604,62.6571,33.4617,25.9169,4.7077,11.67,62.6517,-69.5998,-5.4487,-2.2747,-5.4489,-23.8633,-23.8633,-23.8633,90.5573,-43.8134
000002.SZ,20260401,20251231,-7.4453,-7.4453,19.5657,19.5657,2.2618,10.5801,-3.723,-2639107375.3,-85917363120.34,22085477189.55,1.2339,0.5726,0.4463,26.4816,0.2891,11.7817,0.2024,-65091758584.67,-66777345852.14,-56423788151.84,-4969272066.59,-12226541814.54,402216279499.77,36687321268.5,345859172727.9,278618222993.0,69062420578.61,132175906570.04,227848608097.25,581719230764.59,81808939037.67,-7.4226,9.7987,-0.0828,6.857,-1.8849,-5.5971,-0.4165,-1.0248,-39.3304,9.4612,90.5388,9.2949,-39.3304,3.1735,2.874,3.2474,-9.3943,127.8846,-30.4152,-28.6067,-55.422,-55.42,-53.7703,-5.7894,-7.9597,-12.7348,-55.422,-5.7894,76.8906,4.3272,7.2187,68.3283,31.6717,6.7667,59.4547,20.0965,72.0215,27.9785,-0.0017,3.3272,0.149,0.338,0.088,0.1997,0.2479,-0.0013,795.0139,-7.9597,-7.6776,148801283450.4,-31.6681,3.5907,161.1268,-41.3725,-40.6144,-5.894,6.8031,-78.6571,-78.6571,-125.9969,-55.5503,-56.6629,-78.98,-89.27,-126.0043,-210.279,-42.67,-20.6519,-42.3165,-31.9788,-31.9788,-41.5612,-207.9855,-42.3165
000002.SZ,20251031,20250930,-2.3578,-2.3578,13.5271,13.5271,2.2569,10.5801,1.3513,-1529698497.39,-26486137179.55,15468126309.46,1.3056,0.6002,0.474,18.2368,0.1898,7.9235,0.1332,-21053384329.16,-20935481516.09,,-1161023090.76,-6686394971.5,448304904504.3,32828178106.82,354431410564.99,288754277593.81,111261947429.36,183294763856.49,268986564663.46,655461483144.17,142349573856.37,-2.3482,14.7314,-0.4936,11.9314,-1.9799,-1.7548,-0.0973,-0.5604,-17.4961,9.5844,90.4156,9.1324,-17.4961,2.9873,3.0058,3.1393,-8.884,113.0452,-14.9103,-12.9721,-14.8067,-14.81,-13.9982,-1.7282,-2.3309,-3.3318,-19.7423,-2.3043,73.5147,3.7757,6.4025,68.8887,31.1113,9.7891,54.0736,26.8141,71.7707,28.2293,-0.0098,2.7757,0.2103,0.4959,0.1332,0.3139,0.3853,-0.007,909.7339,-3.1079,-2.3126,160239648979.69,-15.9764,2.9555,122.9433,-8.7524,-8.1129,-1.4907,-5.0845,-55.8155,-55.8155,-21.4866,-64.0632,-66.9959,-56.1354,-83.07,-21.4887,-107.984,-13.2784,-11.6357,-13.2783,-26.6065,-26.6065,-27.2978,-604.4903,-24.9292
000002.SZ,20250823,20250630,-1.0075,-1.0075,8.8279,8.8279,2.2612,10.5801,2.6982,-355550488.59,-11591023199.53,10498761061.91,1.3086,0.5872,0.4663,12.0902,0.1199,5.1356,0.0849,-8190174813.19,-5939159062.2,-632716155.27,-10204348274.56,-14758484633.27,483213992543.79,21867063768.71,367907275500.99,293905011722.26,126186092586.21,197855816025.71,281698468143.37,689067818462.05,158418835845.19,-1.0013,16.0461,-0.2547,13.2782,-1.2289,-0.4978,-0.8553,-1.237,-10.3158,9.9681,90.0319,9.1915,-10.3158,3.0042,2.9303,3.257,-4.8851,107.7762,-8.378,-5.639,-6.0626,-6.07,-5.8822,-0.4789,-0.8761,-1.0017,-12.1252,-0.9578,73.1055,3.7182,6.2937,70.2533,29.7467,10.567,53.392,27.7826,73.4343,26.5657,-0.0047,2.7182,0.2193,0.5204,0.1445,0.343,0.4293,-0.0035,970.3021,-1.7522,-0.9633,158781776455.11,-8.6765,3.1266,105.6233,-2.937,-2.8608,-0.365,4.0902,-21.6867,-21.6867,41.2998,-14.179,-13.4211,-21.2542,-52.25,41.2961,-53.0737,-5.5389,-7.1611,-5.539,-26.2332,-26.2332,-17.0672,67.5235,-20.787
000002.SZ,20250430,20250331,-0.5268,-0.5268,3.1846,3.1846,2.3471,10.5801,3.176,-207508923.68,-6038699619.35,2317785972.35,1.3034,0.5667,0.4472,4.3934,0.0422,1.8675,0.03,-4404095112.58,-4832975098.9,,-16915831800.54,-21236873971.1,521945516499.4,14143625856.53,377975831024.42,302473915589.38,131462153846.85,205623453669.97,285869525519.98,707950243859.67,164119200990.28,-0.5235,16.4893,-0.4855,13.756,-1.0802,-0.4051,-1.4178,-1.78,-16.8845,6.1003,93.8997,12.0971,-16.8845,2.7873,3.967,5.3429,,111.5914,-17.5309,-12.7201,-3.1278,-3.13,-3.0239,-0.382,-0.5071,-0.6765,-12.5112,-1.528,73.4756,3.7701,6.3353,71.0053,28.9947,10.5674,53.3902,27.7885,74.1425,25.8575,-0.0085,2.7701,0.2152,0.5205,0.1438,0.3478,0.4346,-0.0063,1336.2748,-2.0284,-0.4937,161582136559.93,-17.7156,2.7873,111.5914,-3.1278,-3.0239,-0.5071,-15.2457,-1627.2131,-1627.2131,38.521,-1079.8651,-1062.4443,-1625.6268,-260.6,38.517,-2098.4545,-2.9299,-3.2824,-2.9297,-38.3145,-38.3145,-38.3145,78.4972,-21.5073
000002.SZ,20250430,20250331,-0.5268,-0.5268,3.1846,3.1846,2.3471,10.5801,3.176,-207508923.68,-6038699619.35,2317785972.35,1.3034,0.5667,0.4472,4.3934,0.0422,1.8675,0.03,-4404095112.58,-4832975098.9,,,,521945516499.4,14143625856.53,377975831024.42,302473915589.38,131462153846.85,205623453669.97,285886422295.45,707950243859.67,164119200990.28,-0.5235,16.4893,-0.4855,13.756,-1.0802,-0.4051,,,-16.8845,6.1003,93.8997,12.0971,-16.8845,2.7873,3.967,5.3429,,111.5914,-17.5309,-12.7201,-3.1278,-3.13,-3.0239,-0.382,-0.5071,-0.6765,-12.5112,-1.528,73.4756,3.7701,6.3353,71.0053,28.9947,10.5674,53.3902,27.7885,74.1425,25.8575,-0.0085,2.7701,0.2152,0.5205,0.1438,0.3478,0.4346,-0.0063,1336.2748,-2.0284,-0.4937,161582136559.93,-17.7156,2.7873,111.5914,-3.1278,-3.0239,-0.5071,-15.2457,-1627.2131,-1627.2131,38.521,-1079.8651,-1062.4443,-1625.6268,-260.6,38.517,-2098.4545,-2.9299,-3.2824,-2.9297,-38.3145,-38.3145,-38.3145,78.4972,-21.5073
000002.SZ,20250401,20241231,-4.17,-4.17,28.7641,28.7641,2.1874,10.5801,3.6995,-4084709922.13,-45393719289.83,34911569273.46,1.276,0.5542,0.4421,44.5557,0.3319,17.2262,0.2459,-40239872795.04,-41780073272.52,-33058387232.37,-7538723393.51,-8751883095.42,557043187269.25,8451052346.06,381910957666.77,293748092644.74,136797498935.1,198450259204.31,272306024563.75,720765620150.51,170365409533.31,-4.1471,16.987,0.3185,14.2796,-1.084,-3.5019,-0.6319,-0.7336,-14.1921,10.1731,89.8269,6.7675,-14.1921,3.0257,2.0112,1.7305,-2.0888,111.7257,-13.3004,-12.1745,-21.823,-21.82,-20.0214,-2.9938,-3.4899,-5.8793,-21.823,-2.9938,73.6558,3.7959,6.1553,71.3318,28.6682,10.6353,52.9868,28.1182,75.898,24.102,0.0053,2.7959,0.2139,0.5307,0.1444,0.3582,0.4657,0.004,736.3825,-3.4899,-3.5454,163206943897.95,-13.7499,3.1702,122.7491,-14.4396,-14.1607,-2.4442,7.0144,-504.8544,-504.8544,-2.8667,-256.0381,-258.3153,-506.8052,-563.49,-2.8749,-603.391,-19.19,-14.5257,-19.187,-26.3157,-26.3157,-29.7263,-346.4117,-19.187
000002.SZ,20241031,20240930,-1.5132,-1.5132,18.431,18.431,2.1349,10.5801,6.3427,-3475693855.75,-14467604594.34,20894694769.4,1.3535,0.5819,0.462,25.718,0.203,11.0567,0.1537,-12194356683.06,-11893365165.86,,-25384734985.34,-23587787865.45,630633410279.89,3294667249.76,348893264203.58,269147859861.28,171059299637.8,265444417653.78,305897362251.45,723251705906.55,201900540295.18,-1.504,19.6233,-0.4063,16.9228,-1.6441,-0.9969,-2.1277,-1.9771,-7.4573,9.5021,90.4979,7.0862,-7.4573,2.9447,2.3566,1.7849,-0.9148,105.5455,-6.6701,-5.4087,-7.4008,-7.4,-5.9672,-0.8311,-1.1459,-1.7192,-9.8677,-1.1081,72.4164,3.6253,5.9023,74.8815,25.1185,12.604,48.2395,32.3705,76.3955,23.6045,-0.0065,2.6253,0.2382,0.671,0.174,0.4903,0.6356,-0.0049,898.0725,-1.5279,-1.2539,128600125646.71,-7.0215,3.0728,106.8817,-3.4009,-2.8813,-0.5667,0.4262,-230.6172,-230.6172,-2162.4365,-151.9886,-153.8096,-231.728,-220.96,-2159.9931,-242.299,-6.6451,-9.813,-6.645,-24.2548,-24.2548,-13.7558,17.4713,-7.4288
000002.SZ,20240831,20240630,-0.8309,-0.8309,11.9673,11.9673,2.1305,10.5801,7.0209,-2239450390.61,-7613049208.23,11586725996.29,1.371,0.5821,0.4634,16.9537,0.1281,7.1231,0.0975,-6887471290.3,-5982298483.54,-1548420009.23,-13074545586.01,-5458910877.86,680928982884.92,3328966866.75,353503865860.1,261105095146.95,179873325043.88,291768016915.68,304881617572.57,738561071227.18,209991339146.43,-0.8258,20.2568,-0.4339,17.6009,-0.5831,-0.5014,-1.0959,-0.4576,-5.9678,8.1152,91.8848,6.7416,-5.9678,2.8756,2.3218,1.5442,-1.4088,104.8239,-5.4127,-4.1899,-4.0013,-4.001,-3.0918,-0.4087,-0.5821,-0.8522,-8.0026,-0.8174,72.937,3.6951,5.945,75.7798,24.2202,12.642,47.8639,32.7229,75.7825,24.2175,-0.0066,2.6951,0.2329,0.6837,0.1733,0.5088,0.6889,-0.005,936.5431,-1.1642,-0.6731,128047385061.49,-5.643,3.0457,108.0425,-3.8555,-2.4125,-0.6133,5.2289,-198.8095,-198.8095,-377.6072,-138.0042,-138.9177,-199.8179,-187.48,-377.6255,-202.9767,-3.6313,-5.4511,-3.631,-28.9278,-28.9278,-38.6909,-1336.8909,-3.0675
000002.SZ,20240430,20240331,-0.0305,-0.0305,5.1627,5.1627,2.1231,10.5801,7.8163,1312648581.12,-1674616092.64,6665459737.72,1.3847,0.5471,0.437,7.6663,0.0545,3.2124,0.0415,-358160031.78,1642428381.37,,-19738720395.6894,-20788617879.2394,718207592037.09,2921918844.19,343206197487.25,260139710538.47,185923314500.72,308697564203.94,309797241579.89,742739583964.9,219481871233.75,-0.0303,21.0074,-0.7897,18.3964,-1.3511,0.1377,-1.6544,-1.7424,0.5379,10.8216,89.1784,7.1259,0.5379,2.6513,2.7013,1.7733,,100.5815,1.1036,2.6665,-0.1444,-0.14,-0.668,0.1106,0.0223,0.1045,-0.5776,0.4424,72.707,3.6639,5.9206,75.8996,24.1004,12.7008,46.2081,33.7444,75.3873,24.6127,-0.0117,2.6639,0.2355,0.7303,0.1747,0.5417,0.7147,-0.0089,1159.6989,0.0892,-0.0244,132208505798.52,1.1354,2.6513,100.5815,-0.1444,-0.668,0.0223,-15.296,-124.3805,-124.3805,-234.5774,-83.3843,-83.4733,-125.0356,-359.38,-234.5667,-124.574,-0.0604,-2.7233,-0.0603,-10.0474,-10.0474,-10.0474,-34.5922,1.8783
