ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit,rd_exp,fin_exp_int_exp,fin_exp_int_inc,transfer_surplus_rese,transfer_housing_imprest,transfer_oth,adj_lossgain,withdra_legal_surplus,withdra_legal_pubfund,withdra_biz_devfund,withdra_rese_fund,withdra_oth_ersu,workers_welfare,distr_profit_shrhder,prfshare_payable_dvd,comshare_payable_dvd,capit_comstock_div,continued_net_profit,update_flag
000028.SZ,20260430,20260430,20260331,1,1,1,0.52,0.52,17823409770.31,17823409770.31,,,,,,,,,,,,,,,,57982973.89,70130400.88,,17520622411.04,16048355305.97,,,46449417.86,1062076917.93,239432364.39,34309149.08,-1351906.57,,,,,,,,,,,376586868.98,2699410.36,2425750.61,,376860528.73,71699564.96,305160963.77,287462500.32,17698463.45,,305160963.77,287462500.32,17698463.45,,,,,,1513333.97,33327843.81,5687522.18,,,,,,,,,,,,,,,305160963.77,0
000028.SZ,20260430,20260430,20260331,1,1,1,0.52,0.52,17823409770.31,17823409770.31,,,,,,,,,,,,,,,,57982973.89,70130400.88,,17520622411.04,16048355305.97,,,46449417.86,1062076917.93,239432364.39,34309149.08,-1351906.57,,,,,,,,,,,376586868.98,2699410.36,2425750.61,,376860528.73,71699564.96,305160963.77,287462500.32,17698463.45,,305160963.77,287462500.32,17698463.45,355528716.85,,,,,1513333.97,33327843.81,5687522.18,,,,,,,,,,,,,,,305160963.77,1
000028.SZ,20260402,20260402,20251231,1,1,4,2.04,2.04,73415858423.13,73415858423.13,,,,,,,,,,,,,,,3128755.42,217607416.92,315683618.31,,72191655059.17,65575391355.23,,,186308472.54,4846915960.57,1001267356.4,182960330.01,-290177026.92,,,,,,,,,,,1512828830.82,20084581.99,23893084.14,,1509020328.67,380671650.91,1128348677.76,1135926834.84,-7578157.08,1970509.18,1130319186.94,1137099319.4,-6780132.46,1751040611.61,3180393788.83,,,,19986945.44,194497657.99,46952873.74,,,,,,,,,,,,,,,1128348677.76,1
000028.SZ,20251031,20251031,20250930,1,1,3,1.72,1.72,55124490690.34,55124490690.34,,,,,,,,,,,,,,,3229489.96,165074116.96,228175415.18,,54020319527.33,49344552244.9,,,138886408.14,3551256072.17,703403641.94,119931326.06,-4041733.23,,,,,,,,,,,1333477586.93,13512458.6,29335203.47,,1317654842.06,298257458.01,1019397384.05,957118469.53,62278914.52,-36254.21,1019361129.84,957082215.32,62278914.52,,,,,,16559803.77,131316934.07,37578395.86,,,,,,,,,,,,,,,1019397384.05,0
000028.SZ,20251031,20251031,20250930,1,1,3,1.72,1.72,55124490690.34,55124490690.34,,,,,,,,,,,,,,,3229489.96,165074116.96,228175415.18,,54020319527.33,49344552244.9,,,138886408.14,3551256072.17,703403641.94,119931326.06,-4041733.23,,,,,,,,,,,1333477586.93,13512458.6,29335203.47,,1317654842.06,298257458.01,1019397384.05,957118469.53,62278914.52,-36254.21,1019361129.84,957082215.32,62278914.52,1279105500.92,,,,,16559803.77,131316934.07,37578395.86,,,,,,,,,,,,,,,1019397384.05,1
000028.SZ,20250830,20250830,20250630,1,1,2,1.2,1.2,36796598397.42,36796598397.42,,,,,,,,,,,,,,,,136126440.88,179970541.96,,36049657561.36,32864811704.71,,,93371344.03,2436281242.55,466644282.14,83178515.35,-4694534.61,,,,,,,,,,,926496477.17,10192652.43,18575827.27,,918113302.33,205519499.88,712593802.45,665907312.44,46686490.01,-36254.21,712557548.24,665871058.23,46686490.01,869349512.04,1708287423.6,,,,11631570.23,91098772.3,27390711.07,,,,,,,,,,,,,,,712593802.45,1
000028.SZ,20250425,20250425,20250331,1,1,1,0.59,0.59,18293519382.49,18293519382.49,,,,,,,,,,,,,,,,79518923.04,100212885.7,,17947121012.24,16401114250.87,,,44705164.1,1170730419.96,220747505.41,38253289.25,-1791062.26,,,,,,,,,,,439138215.7,6567976.62,7379327.71,,438326864.61,90649557.81,347677306.8,327998492.13,19678814.67,,347677306.8,327998492.13,19678814.67,398666119.01,,,,,5922554.39,43629630.28,15296092.39,,,,,,,,,,,,,,,347677306.8,1
000028.SZ,20250408,20250408,20241231,1,1,4,1.15,1.15,74378494389.57,74378494389.57,,,,,,,,,,,,,,,-20675083.9,241793080.58,369703302.11,,74111332683.42,66129208570.94,,,189627779.42,5360350644.71,1074310777.48,239423745.11,-994531638.52,,,,,,,,,,,573478281.11,29365873.55,27374717.34,,575469437.32,338465910.83,237003526.49,642493449.76,-405489923.27,-15541136.14,221462390.35,633177482.04,-411715091.69,1551200245.93,3294945140.42,,,,24553709.11,258301906.01,58523377.05,,,,,,,,,,,,,,,237003526.49,1
000028.SZ,20241029,20241029,20240930,1,1,3,1.91,1.91,56466354478.37,56466354478.37,,,,,,,,,,,,,,,3149334.95,254930911.72,310434994.71,,55442284156.37,50326326124.65,,,141929922.36,3940293176.93,773745139.26,183057940.41,-10762327.64,,,,,,,,,,,1344444922.23,21912083.23,9893735.41,,1356463270.05,260793959.76,1095669310.29,1065542103.97,30127206.32,-13914.59,1095655395.7,1065528189.38,30127206.32,1273424464.26,,,,,19243795.36,198555409.74,46615543.97,,,,,,,,,,,,,,,1095669310.29,1
000028.SZ,20240829,20240829,20240630,1,1,2,1.34,1.34,37785980620.95,37785980620.95,,,,,,,,,,,,,,,3149334.95,190056511.61,227265014.83,,37061117885.15,33643135647.63,,,95998373.19,2641750214.2,509771159.45,120394924.46,-9739207.56,,,,,,,,,,,948860093.44,12974192.25,3865385.49,,957968900.2,187914272.09,770054628.11,743487174.84,26567453.27,-13914.59,770040713.52,743473260.25,26567453.27,872243230.65,1738334711.55,,,,12965760.67,131085697.1,35049935.33,,,,,,,,,,,,,,,770054628.11,1
000028.SZ,20240426,20240426,20240331,1,1,1,0.7,0.7,19090480767.9,19090480767.9,,,,,,,,,,,,,,,,102737216.42,110336231.91,,18671137780.73,17017096958.66,,,45477310.67,1262401329.62,251652163.09,45587915.84,-1812728.91,,,,,,,,,,,544001136.48,8150689.76,1902524.11,,550249302.13,104126239.11,446123063.02,388770710.07,57352352.95,,446123063.02,388770710.07,57352352.95,485656856.57,,,,,6260235.43,54746969.73,19236371.74,,,,,,,,,,,,,,,446123063.02,1
