ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pe_ttm,pb,total_mv,circ_mv
000009.SZ,20260515,7.92,1.0095,0.81,100.6068,393.3935,2.0366,2042737.4603,2040208.2083
000009.SZ,20260514,8.01,1.4641,1.18,101.75,397.8639,2.0597,2065950.386,2063392.3925
000009.SZ,20260513,8.31,1.2009,0.9,105.5609,412.7652,2.1369,2143326.8049,2140673.0064
000009.SZ,20260512,8.43,1.214,0.71,107.0852,418.7257,2.1677,2174277.3725,2171585.252
000009.SZ,20260511,8.58,1.183,0.6,108.9907,426.1763,2.2063,2212965.582,2210225.559
000009.SZ,20260508,8.62,1.1526,0.6,109.4988,428.1632,2.2166,2223282.4378,2220529.6408
000009.SZ,20260507,8.61,1.458,0.81,109.3718,427.6665,2.214,2220703.2239,2217953.6204
000009.SZ,20260506,8.74,1.6642,1.01,111.0231,434.1237,2.2474,2254233.0054,2251441.8864
000009.SZ,20260430,8.65,3.1309,2.55,109.8799,429.6533,2.2243,2231020.0797,2228257.7022
000009.SZ,20260429,9.28,2.4563,2.49,117.8827,117.8827,2.3923,2393510.5595,2390546.9915
000009.SZ,20260428,8.82,0.9079,0.95,112.0394,112.0394,2.2737,2274866.7171,2272050.0501
000009.SZ,20260427,8.86,0.8558,0.92,112.5475,112.5475,2.284,2285183.573,2282354.132
000009.SZ,20260424,8.9,0.8964,1.0,132.976,325.7033,2.2777,2295500.4289,2292658.2139
000009.SZ,20260423,8.88,1.017,1.19,132.6771,324.9714,2.2726,2290342.0009,2287506.1729
000009.SZ,20260422,8.97,1.2508,1.6,134.0218,328.265,2.2956,2313554.9266,2310690.3571
000009.SZ,20260421,8.88,0.7351,0.91,132.6771,324.9714,2.2726,2290342.0009,2287506.1729
000009.SZ,20260420,8.93,0.7344,0.89,133.4242,326.8012,2.2854,2303238.0707,2300386.2752
000009.SZ,20260417,8.98,0.7385,0.82,134.1713,328.631,2.2982,2316134.1406,2313266.3776
000009.SZ,20260416,8.94,0.813,0.92,133.5736,327.1671,2.2879,2305817.2847,2302962.2957
000009.SZ,20260415,8.86,0.8758,0.97,132.3783,324.2395,2.2675,2285183.573,2282354.132
000009.SZ,20260414,9.02,0.8959,1.09,134.7689,330.0948,2.3084,2326450.9964,2323570.4594
